43.0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichales_unclassified	Microtrichales_unclassified
18.0	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
35.0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
17.0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1
105.0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
62.0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacteriaceae
87.0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria
1.0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcaceae
4.0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcales_unclassified	Micrococcales_unclassified
5.0	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioidaceae
19.0	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	Armatimonadales_unclassified	Armatimonadales_unclassified
2772.0	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
128.0	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophagaceae
47.0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Weeksellaceae
189.0	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiales_unclassified	Chlamydiales_unclassified
4.0	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia
1.0	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria_unclassified	Oxyphotobacteria_unclassified	Oxyphotobacteria_unclassified
2.0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
53.0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
39.0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Bacillales_unclassified
92.0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillaceae
2.0	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
34.0	Bacteria	Firmicutes	Bacilli	Bacilli_unclassified	Bacilli_unclassified	Bacilli_unclassified
5.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
3.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
122.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus
139.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-010
104.0	Bacteria	Planctomycetes	Planctomycetes_unclassified	Planctomycetes_unclassified	Planctomycetes_unclassified	Planctomycetes_unclassified
359.0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella
168.0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodovarius
78.0	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
144.0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
112.0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
138.0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacteraceae
29.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Chelatococcus
277.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium
6.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae
3.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium
