10.0	Bacteria	Acidobacteria	Acidobacteria_unclassified	Acidobacteria_unclassified	Acidobacteria_unclassified	Acidobacteria_unclassified
17.0	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidipila
12.0	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella
13.0	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacteriaceae_(Subgroup_1)
8.0	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriales_unclassified	Acidobacteriales_unclassified
120.0	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Bryobacter
1163.0	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Solibacteraceae_(Subgroup_3)
53.0	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	Blastocatella
190.0	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	Blastocatellaceae
6.0	Bacteria	Acidobacteria	Holophagae	Subgroup_7	Subgroup_7_fa	Subgroup_7_ge
58.0	Bacteria	Acidobacteria	Subgroup_6	Subgroup_6_or	Subgroup_6_fa	Subgroup_6_ge
15.0	Bacteria	Acidobacteria	Subgroup_6	Subgroup_6_unclassified	Subgroup_6_unclassified	Subgroup_6_unclassified
146.0	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiia_unclassified	Acidimicrobiia_unclassified	Acidimicrobiia_unclassified
20.0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia
80.0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacteraceae_uncultured
147.0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichales_unclassified	Microtrichales_unclassified
7.0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichales_uncultured	Microtrichales_uncultured
34.0	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiia_uncultured	Acidimicrobiia_uncultured	Acidimicrobiia_uncultured
3643.0	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
